Date,open,high,low,close,volume,ticker,sector,channel,region,country,lat,lon,returns,rolling_vol_21,rolling_return_21,rolling_sharpe_21,max_drawdown,value_at_risk_95,risk_score,roi,cost,revenue,impressions,conversion_rate,campaign,geo_lat,geo_lon,audit_flag,risk_band,date
2024-02-13,184.897,185.335,182.65,184.17,56796450.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.011279265156680318,0.19967528725117506,-9.022083464644519e-05,-0.00045183776063862535,-0.08545762918427019,,0.0,-1.128,2210.04,2185.11,56796,4.44,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-13
2024-02-14,184.449,184.659,181.582,183.284,54888471.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.004810772655698514,0.19553537955307307,0.0002671400341738771,0.0013661979473201613,-0.08545762918427019,,0.0,-0.481,2199.41,2188.83,54888,4.76,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-14
2024-02-15,182.687,183.623,180.498,182.996,65743464.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0015713319220443944,0.19466742950085716,0.00043884411825098217,0.0022543273899296537,-0.08545762918427019,,0.0,-0.157,2195.95,2192.5,65743,4.92,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-15
2024-02-16,182.558,183.982,180.811,181.453,49987386.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.008431878292421757,0.15769200447958612,-0.0015137957514397176,-0.009599698833403343,-0.08545762918427019,,0.0,-0.843,2177.44,2159.08,49987,4.58,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-16
2024-02-20,180.936,181.572,179.154,180.706,53918951.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.004116768529591752,0.14511301405848762,-0.002449626089629979,-0.01688081600071142,-0.08545762918427019,,0.0,-0.412,2168.47,2159.54,53919,4.79,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-20
2024-02-21,181.086,182.03,179.81,181.463,41725768.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.0041891248768719525,0.13742116683534136,-0.0028293239328149125,-0.020588705495457046,-0.08545762918427019,-0.013243967255443294,0.0,0.419,2177.56,2186.68,41726,5.21,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-21
2024-02-22,182.617,184.085,181.602,183.503,52539121.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.01124196117114784,0.1422467541987769,-0.0026107395496332273,-0.01835359663802913,-0.08545762918427019,-0.013243967255443294,0.0,1.124,2202.04,2226.8,52539,5.56,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-22
2024-02-23,184.14,184.17,181.374,181.662,45332723.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.010032533528062104,0.14454356748437094,-0.0029225617804737444,-0.020219244836265384,-0.08545762918427019,-0.013243967255443294,0.0,-1.003,2179.94,2158.07,45333,4.5,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-23
2024-02-26,181.384,181.901,179.8,180.309,41060388.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.007447897744162324,0.14529998744341788,-0.0031964377683348392,-0.021998885372096696,-0.08545762918427019,-0.013243967255443294,0.0,-0.745,2163.71,2147.59,41060,4.63,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-26
2024-02-27,180.249,183.058,178.717,181.772,54575333.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.00811384900365475,0.14873517352560195,-0.002381023569133162,-0.01600847676238004,-0.08545762918427019,-0.013243967255443294,0.0,0.811,2181.26,2198.96,54575,5.41,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-27
2024-02-28,181.652,182.26,179.284,180.567,49185089.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0066291838126882885,0.14941779409798098,-0.0025259125345906156,-0.016905031625177414,-0.08545762918427019,-0.013243967255443294,0.0,-0.663,2166.8,2152.44,49185,4.67,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-28
2024-02-29,180.418,181.712,178.687,179.9,137327985.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0036939197084738806,0.13664920952824128,-0.001785091963039913,-0.013063317154944742,-0.08646815079622955,-0.013243967255443294,0.0,-0.369,2158.8,2150.83,137328,4.82,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-02-29
2024-03-01,178.707,179.681,176.547,178.816,73910432.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.006025569760978344,0.12207696942067263,-0.0011503007692436327,-0.009422750046159318,-0.09197270068248244,-0.013243967255443294,0.0,-0.603,2145.79,2132.86,73910,4.7,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-01
2024-03-04,175.322,176.068,172.973,174.277,81894975.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.025383634574087433,0.1369492476331063,-0.002994488949366629,-0.02186568382901241,-0.11502173383165379,-0.019256403367021717,0.0,-2.538,2091.32,2038.23,81895,3.73,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-04
2024-03-05,169.958,171.231,168.822,169.322,95581551.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.028431749456325206,0.16283978975836252,-0.004091244819938061,-0.025124355822425507,-0.1401832141696453,-0.019657557317869587,0.0,-2.843,2031.86,1974.09,95582,3.58,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-05
2024-03-06,170.256,170.435,167.887,168.326,68911564.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.005882283459916704,0.15479411514250052,-0.00484021850085316,-0.031268750083925004,-0.14524090022749395,-0.019657557317869587,0.0,-0.588,2019.91,2008.03,68912,4.71,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-06
2024-03-07,168.356,169.928,167.698,168.206,72103921.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0007129023442605797,0.1477744655400538,-0.005285113142551502,-0.03576472513865387,-0.14585025999349985,-0.019657557317869587,0.0,-0.071,2018.47,2017.03,72104,4.96,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-07
2024-03-08,168.206,172.884,168.146,169.928,76627158.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.010237446940061679,0.1561513481206487,-0.004825452558205011,-0.03090240728806693,-0.14585025999349985,-0.019657557317869587,0.0,1.024,2039.14,2060.02,76627,5.51,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-08
2024-03-11,172.127,173.561,171.241,171.939,60423439.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.011834423991337495,0.16638368423304267,-0.003987496022744709,-0.023965667313627252,-0.14585025999349985,-0.019657557317869587,0.0,1.183,2063.27,2087.69,60423,5.59,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-11
2024-03-12,172.336,173.212,170.207,172.415,60107855.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.0027684236851441835,0.16563536680536015,-0.004050521931884947,-0.0244544508217545,-0.14585025999349985,-0.019657557317869587,0.0,0.277,2068.98,2074.71,60108,5.14,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-12
2024-03-13,171.959,172.37,169.958,170.325,52736533.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.012121915146593998,0.16715813164941187,-0.004199351258274652,-0.02512202796739878,-0.14585025999349985,-0.019657557317869587,0.0,-1.212,2043.9,2019.12,52737,4.39,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-13
2024-03-14,172.097,173.489,171.241,172.187,73257790.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.010932041685014049,0.17291368502132567,-0.00314166998009873,-0.018169007153547526,-0.14585025999349985,-0.019657557317869587,0.0,1.093,2066.24,2088.83,73258,5.55,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-14
2024-03-15,170.365,171.809,169.484,171.809,122327591.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.0021952876814161915,0.17283292707309775,-0.003017123076561477,-0.01745687657818477,-0.14585025999349985,-0.019657557317869587,0.0,-0.22,2061.71,2057.18,122328,4.89,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-15
2024-03-18,174.745,176.875,172.705,172.904,75961171.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.0063733564597896475,0.1758354169079766,-0.002638804582188427,-0.015007241593253335,-0.14585025999349985,-0.019657557317869587,0.0,0.637,2074.85,2088.07,75961,5.32,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-18
2024-03-19,173.521,175.775,172.217,175.252,55475959.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.013579789941239095,0.18308160159602185,-0.001590629904395053,-0.008688092580186471,-0.14585025999349985,-0.019657557317869587,0.0,1.358,2103.02,2131.58,55476,5.68,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-19
2024-03-20,174.894,177.83,174.267,177.83,53675355.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.014710245817451506,0.19124290141216205,-0.0006941054116787074,-0.0036294440554569306,-0.14585025999349985,-0.019657557317869587,0.0,1.471,2133.96,2165.35,53675,5.74,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-20
2024-03-21,176.218,176.656,170.038,170.564,106682636.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.04085924759601878,0.23533504191237084,-0.002839266005625885,-0.012064782118946451,-0.14585025999349985,-0.02553604031819932,0.0,-4.086,2046.77,1963.14,106683,2.96,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-21
2024-03-22,170.953,172.237,169.262,171.47,71496142.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,0.00531178912314445,0.2317332128181696,-0.0031216551507689035,-0.013470900924410532,-0.14585025999349985,-0.02553604031819932,0.0,0.531,2057.64,2068.57,71496,5.27,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-22
2024-03-25,169.763,171.132,168.653,170.048,54544666.0,AAPL,Technology,App Store,North America,USA,37.3349,-122.009,-0.008292995859333963,0.23115718924674922,-0.003038820023686611,-0.013146119459182454,-0.14585025999349985,-0.02553604031819932,0.0,-0.829,2040.58,2023.66,54545,4.59,AAPL-App_Store,37.3349,-122.009,OK,Low,2024-03-25
